wai_gi,hip_gi,ank_gi,kne_gi,thi_gi,cal_gi
66.5,92,21,32,53.5,32.2
61.5,90.5,22.5,38.5,57.7,38.5
61.2,91,19,32.5,53,32.5
78,99.5,23,35.2,61.5,36.7
70.5,91.5,19.9,33,55,33.3
66.5,94,23,34,54,35
58,85.5,19,32.5,49.5,32
74.5,104,22,38.5,64,38
73.5,104.1,21.6,35.3,65.3,37.4
90.5,108.1,22.6,37.2,61.1,35.8
66.5,90.3,19.9,32.2,52,32.5
61,91.6,20.5,34,53,34.5
69.5,94.4,20.9,36.1,55.8,35.3
62,80.9,17.9,30.8,48.8,30.4
63.4,87.7,19.1,34.4,54,32.8
71,88.5,21,33.5,54.5,35
59,88.5,18.5,32.5,51.2,29.6
74,101,23.8,38.6,61.5,38.6
60.5,88.5,19,29,54,33
75,99,20.6,37,59,36.5
65,91,22,32,53.5,31.5
82.2,110.2,23,40.5,69,38.6
70.2,94.2,19.4,34.3,54.1,30.9
85,111,24.2,40.1,68,40
75,103,23,38.2,62,40
63,90,20.9,35.2,51.1,33.7
70,96,21,37.2,57.9,36
72.6,93.7,21.3,37,56.4,38.4
78.7,101.5,21.3,35.4,59.9,36.7
61,82.5,20.5,32.5,49.5,33
64.2,89,20.5,33,53,31.5
63.1,93.9,20.1,35,57.1,35
85,106.4,23.3,39.6,65.6,38.9
66,92,20.5,33,52.5,34.8
65,86,20,31.5,51,31
63.2,89.1,20,33.6,55.8,33.4
83.6,104.1,22.3,37.2,61.5,35.2
68,88,21.2,33.2,52.2,35.3
75.7,102.6,21.5,35.5,64.3,38
65.5,95.9,21.9,35.6,53.7,33.4
66.9,98.8,20,35.9,59.2,34.6
67.9,93.5,20.6,37.1,57,36.3
67.8,92.9,18.8,32.3,55.8,30
63.2,86.9,18.9,32.3,52.1,31.6
73.1,94.9,22,34.9,57.2,35.7
65.3,95.3,21.2,33.1,55.7,35.4
65.6,93.3,21,35.1,57.4,35.6
62.7,90,19.8,32.6,54,32.9
81.8,99.3,21.4,35,60.7,36.3
72.1,95.6,21.9,34.3,59.2,37.1
68.6,95.8,20.7,35.6,56.6,34
80,104.6,21,36.3,62.7,36
64.9,92.2,20.7,34,53.1,35.4
61.7,80.7,20.7,30.5,50.3,33.8
64,98.1,20.3,33.7,56.8,34
58.6,89.6,20.7,33.2,54.9,35.8
68.3,94,19.7,35.9,57,32.5
69.5,94.7,20.1,34.9,55.7,37.1
70.5,94.1,20,33.5,54.6,33.5
69.8,93.7,21.5,35.9,55.7,34.2
69,86.7,19.6,31.6,51.5,33.3
81,105.9,21.7,38.1,65.5,37.7
71,97.5,20.6,34,59.5,34.2
73.6,105.3,24.3,38.8,65.8,39.7
96.3,102.6,22.9,38.3,57.5,41.1
65,91.6,18.9,33,55.3,31.5
62.8,83.9,20.9,34,51.5,34.8
83,108.1,20.7,38.1,65,37.8
67.6,99.1,22.1,38.5,57.5,35
65.4,89.3,19.1,34,53.7,33.7
61.6,89.9,19,33.3,53.6,32.4
63.2,85.8,18.4,32.5,51.6,31.3
59.4,85.8,19.7,32.8,51,32.1
62.7,96,21.3,35.4,61.5,38.5
66.6,98.7,21.8,35.7,60.3,38.2
64.6,94.9,21,37.4,54,35.5
65.7,90.5,20.3,33.2,56.1,34.4
63,86.6,20.2,32.2,48.5,30.3
78.5,103,23.2,37,59.6,35.2
68.2,97.9,21.8,36.8,59.8,38.1
68.5,98.1,23.3,40.9,62,40.4
68.8,94.8,21.6,34.4,56.5,35.2
69,96.5,22.2,37,57.6,35
78,103,21.8,35.2,64.8,36.7
62,86.8,20.2,34.2,52.6,34.8
65.8,89.3,22.1,36.8,57.4,36.2
65,89.5,21.4,34,53.4,33.9
64.9,88.4,19.1,30.9,53.4,32.6
71.5,100.5,21.8,36.6,60.4,36.4
61.4,94,21,35.4,56.4,34.8
75.4,101.3,21.7,37.6,63.1,34.3
67.2,95.5,22.2,36,54.7,35.4
69.5,95.3,21.8,35.2,57.6,35.4
57.9,84.1,19.6,33.6,49,33
64.4,91,19.4,32.7,53.4,33
62.3,83.9,21,32.4,52.8,32.5
68.7,93.1,21.5,34.6,55.2,34.3
68,92.3,21.6,34.5,55.4,35.3
66,97.1,23.2,37.2,59,39
71.2,97.5,20.4,34.2,58.2,34
64.8,92,20.4,31,57.4,35.2
78,112.1,22,38.2,75.7,39.8
60.7,89.9,19,34.2,53.3,32.2
75,104.9,22,37.6,63.2,36.6
68.6,94.2,19.9,32.2,58,35.9
67.1,90.4,23.8,35.9,53.2,36.6
68,99.5,23.2,40.5,60.8,39.4
71,98.7,20.8,35.6,59.2,35.8
76,103.5,21.8,39.2,64.8,37
70.3,100,23,37,59.6,37
69.5,95.2,21.3,35.4,56.2,34
101.5,114,25.8,45.6,70,45
67.2,91.2,20.3,34.6,53.6,34.2
68.7,93.8,22,35.9,58,37.4
66,92,21,35.4,56.2,35.6
67.5,85.8,20,33,53.8,33
65.2,95.4,23.2,37.5,58.5,38.4
64.2,88.4,20.5,33.9,56,33.2
61,84.5,17.4,30.4,51.5,28.4
60.2,91.7,21.2,36,53.3,35.8
62.6,87.4,20.7,34.5,54,33
72.7,95.9,22.4,36.8,56.6,37.6
58.5,84.3,20.1,31.7,52.2,32
67.5,96.5,21.8,35.6,56.3,33.5
66.1,91.8,20.2,35,54.4,33
68,101,21.6,36.1,59.6,35.1
64,92.6,18.9,32.7,54.8,31.5
90.1,95.2,21.5,34.7,53.8,37.2
64.1,96,21,35.2,53.7,35
72.4,89.9,21.3,33.2,52.6,34.4
71,92.7,19.8,34.2,57.3,34
69.1,94.1,20,35,56.2,34.4
66.1,93.8,22,35.3,54.2,33.7
59.5,78.8,18.6,31.6,46.3,29.6
71.5,96,21.1,33.8,56.9,33.5
65,84.9,18.8,31.6,50.8,31.6
71.5,97.5,20.4,39.1,63,38.2
63,86,20.4,30,53,31.2
70,96.8,21.7,35.8,59.8,35
70.4,93.5,19,33.1,57.5,32.8
64.3,93,22,35.6,55.6,35.5
66,90.2,21.4,34.7,54.8,34.5
70.5,91.9,20.4,35.8,56.8,36.9
62,88.5,19.4,33.5,53.6,33
67.6,90.2,20.6,34.1,56.4,33.8
65,97.6,20.6,38.6,62.2,37.4
64,95,20.3,32.3,55.9,34.8
70.5,98,20.1,35.6,61.4,30.5
79.2,97.4,23.8,36,61.7,35.7
71.1,98.2,20.7,34.3,55.3,36.6
74.7,100,20.9,35.7,59.4,34
62.9,95.5,20.4,34.6,52.8,32.3
70.6,101.9,19.9,37.2,62,33.1
61.6,87.6,20.3,32.4,51.6,32.9
74.2,102.6,24.3,37.6,61.5,41.9
65.5,90.4,21.5,34.2,53.3,33.4
67.7,92,18.8,33,54.3,32.7
72.9,102.2,21,33.8,60.1,33.5
72.1,106.7,23.5,34.6,62,35.6
93.4,109.8,22.3,41.5,67.7,38.6
60.7,89.1,21.2,32.5,52.6,34.6
69.2,93,21.9,35.5,53.9,33.1
75.5,98.6,20.3,37.2,62.7,35.4
85.6,112.1,21,35.5,64.3,38
71.6,95,20.1,36.2,56.8,35.8
75.5,100.2,22.5,37.3,57.8,37
73.7,101.2,21.2,33.9,57.4,33.3
67.9,100.8,22.2,36.6,60.2,38.5
71.2,96.5,21,33.7,52.4,32.1
69.3,93.2,21.5,34.8,55.4,34.6
75.6,95.8,19.9,34.6,58.5,32.6
63.8,97.6,22.6,35.9,59,35.5
83.6,108.3,24.5,38.1,63,36.4
84.9,102.4,21.6,37.6,59.9,33.7
66,94.3,21,32.1,56.4,34.3
68.3,96.5,21.8,33.9,55.1,33.7
63.8,94,22.1,33.1,56.1,35.2
73.6,106.2,24.8,39.6,61.7,39.1
76.3,98.6,20.3,32.3,55.5,31.3
58.8,89.3,21,33.8,51.6,32.4
78,106.9,22.8,38.5,65.5,39.7
64.5,91.9,21.4,34.6,53.4,32.7
65.8,89.1,19.7,33.6,55.4,35
62.5,95.5,20.4,35.1,57.3,35.7
77.5,101.1,21.9,36.5,61.6,34.6
70,98.9,22.5,35.6,55,36.6
59.4,83.3,20.5,31.7,50.2,30.7
68.3,94,21.7,32.7,57.3,34.3
77.9,100.1,20.9,34.7,60.7,34.5
68.3,93.8,19.6,32.7,54.7,33
72,103.9,23.4,36.3,57.5,37.9
62.7,93.5,22,32.8,52.5,36.1
58,90.2,20.3,35.5,52.5,36.4
72.7,100.2,20.5,36.3,57.9,34.3
85.4,109.5,22.4,40.3,68.3,37
67.3,97.6,21,38.3,58.8,35.6
70.8,96.9,20.3,36.5,57.9,35.3
67.4,90.3,18.7,32.8,54.7,29.5
66,94.8,19.2,32.2,57.4,32.6
63.6,92.7,20.2,33.5,54.4,33.6
71.7,108.4,23.3,40.5,68.5,39.5
73.6,94.7,19.3,31.6,52.9,30.2
66.9,90.6,20.8,33.9,54.4,33.9
65.5,90.8,20.7,33.1,56.4,35
70.4,96.7,23,35.3,55.6,33.8
80.3,101.2,20,34.6,61.2,35.6
65,94.7,22.5,34.7,54.8,34.8
60.4,87,18.8,33.2,49.5,31.5
75.3,103.6,21.1,35.7,59.9,35.8
83.4,107.5,23.4,40.9,67.4,41.2
72.2,96.1,26,39.1,61.1,38.7
70.1,97.6,21.1,34.9,55.6,32
69.8,100.2,19.6,33.5,59,33.1
66.4,91.6,20.2,33,54.6,34.3
61.7,94.7,22,36.7,56.5,36.2
76.4,107,23.9,36.5,64.5,36.2
63.8,86.3,21,32,51.5,32.6
70.2,97.8,21.4,35.5,58.5,36.3
88.2,107.9,23.1,39.2,63.1,38.4
75.8,103.3,21.8,36.8,60.5,35.9
81.5,94.9,21.8,34.4,54.8,37.3
67.4,95.1,23.7,36.2,56.3,36.7
78.3,104.9,23,39.4,63.1,39.1
65.9,96.3,21.7,35.6,57,34
62.4,90.4,19.2,34.5,53.2,31
65.6,92.8,21.7,33,56.2,34.6
96.2,128.3,24.1,49,72.3,45.4
62.5,87.6,18.5,31.7,51.6,34.7
80.5,107.2,22.2,38.8,63,38.2
86.1,112,23.7,39.4,69.4,38.7
71.3,94,21.2,35.9,59.2,34.4
79.4,102.7,21.3,38.7,63,36.3
72.3,92,20.5,35,54.7,34.2
67.4,98.4,22.5,35.6,59.1,37.4
94.2,103.5,19.5,34.8,57.8,35.5
67,96.7,21.6,37,56.2,33
69.5,90.6,19.9,33.9,51.7,30.8
66.4,92,21.7,32.5,53.4,31.7
67.6,90.4,21.7,34.5,52.4,32.5
66.6,96.7,21.4,36,59.3,34.9
69.7,94.9,23.7,37.7,59.1,37.7
72,95.5,19.6,35.2,57.3,31.9
64.5,88.4,20.3,34.5,52.4,32.7
72.3,97.8,21.6,39.9,59.1,39.7
69.1,95.4,23,35.6,59.5,34.6
74.7,97.7,20.9,34.4,57,32.7
60.8,84.6,21,34.4,51,33.1
66.9,91.6,22.4,35,53.4,35.2
68.8,103.3,21,34.4,63,35
63.7,96.3,21.3,36.5,55.5,34.1
71.2,93.5,22.6,37,56.1,37.5
79.6,104.3,24.6,40.3,66.5,37.9
77.9,96.3,22.3,38.2,56.2,36.6
69.6,98.3,20.8,32.3,56.3,33.8
86,112.1,21.4,35.7,64.4,37
69.9,101,22.4,37.7,60.6,37.9
63.5,89.5,22.4,35.6,55.2,33.3
57.9,86.9,21.2,34.4,51.8,34.1
72.2,98.6,22,38.4,59,36.6
80.4,102.2,23,39.6,57.4,35.9
